Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.011806/2024-05,5794114,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5794114,1
23117.011872/2024-77,5795027,(Não Visualizado) CTIC - COLETA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5795027,1
23117.012321/2024-21,5799837,(Não Visualizado) COLETA FAMED 2H,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5799837,1
23117.012352/2024-81,5800291,Solicitação de coleta de bem patrimonial FAGEN,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5800291,1
23117.012644/2024-14,5803255,DIPAT - Recolhimento de bens em desuso ESTES - 20/02/2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5803255,1
23117.012956/2024-28,5805956,(Não Visualizado) Baixa de itens sob responsabilidade da DIRAM Telefones sem fio,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5805956,1
23117.013258/2026-10,7898249,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7898249,1
23117.013445/2026-95,7900644,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7900644,1
23117.013481/2024-97,5811962,Recolhimento Material ao Depósito - Status Baixa Realizada STP,Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5811962,1
23117.014014/2026-46,7907126,Material: Recolhimento de Material ao Depósito - TONNERS USADOS,Material: Recolhimento de Material ao Depósito,,Recolhimento,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7907126,1
23117.014090/2026-51,7908486,(Não Visualizado) Bens em desuso na Biblioteca Setorial Umuarama,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7908486,1
23117.014133/2024-37,5819227,(Não Visualizado) Atualização do parque computacional FACOM - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5819227,1
23117.014404/2026-16,7912418,Coleta Material Danificado,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7912418,1
23117.014586/2026-25,7914264,"Baixa e Recolhimento de Materiais localizados na salas 113, 119, 128,  (Bloco 1G), 201 (Bloco 5 M)",Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7914264,1
23117.015322/2026-99,7922790,(Não Visualizado) Solicita recolhimento de equipamentos de informática em desuso ao Depósito,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7922790,1
23117.015653/2025-48,6866553,Recolhimneto de equipamento em desuso,Material: Recolhimento de Material ao Depósito,,Aguardando Aceite STP,assianr informe e enviar ao setor,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6866553,1
23117.016102/2026-82,7931339,(Não Visualizado),Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7931339,1
23117.016429/2024-92,5843964,(Não Visualizado) Recolhimento e Baixa de Itens Obsoletos no MUnA,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5843964,1
23117.016628/2026-62,7937539,(Não Visualizado) RECOLHIMENTO DE MATERIAL,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7937539,1
23117.016694/2024-71,5847013,Solicito retirada de bem em desuso - Televisão,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5847013,1
23117.017034/2024-15,5851366,(Não Visualizado) Atualização do parque computacional HOVET - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5851366,1
23117.017038/2026-57,7941940,Recolhimento de Cartucho de Toner Samsung,Material: Recolhimento de Material ao Depósito,,Recolhimento,Lançado na planilha,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7941940,1
23117.017300/2024-00,5854635,Solicita baixa impressora secretaria,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5854635,1
23117.018102/2024-55,5864880,"Recolhimento de CPU para troca, lotação de 48 maquinas",Material: Recolhimento de Material ao Depósito,genilson.rosa,Aguardando Aceite STP,"Coleta ja efetuada, falta ajustes no SIADS e SIPAT",https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5864880,1
23117.018122/2024-26,5865058,(Não Visualizado) Telefones sem fio PREFE.,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5865058,1
23117.018682/2026-42,7958823,Coleta de Impressora - sala 09 do 2U,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7958823,1
23117.018813/2023-49,4858433,Laudos de Baixa,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4858433,1
23117.018814/2026-36,7960360,Solicitação de recolhimento REBIR,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7960360,1
23117.019895/2026-91,7972623,(Não Visualizado) Recolhimento de aparelho de ar condicionado,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7972623,1
23117.019925/2026-60,7972951,Recolhimento de equipamento - TOC,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7972951,1
23117.020295/2024-12,5890457,Atualização do parque computacional FAMEV - Distribuição PROPLAD 2024,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5890457,1
23117.021056/2024-71,5899078,Recolhimento de material - 1B 221,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5899078,1
23117.021126/2026-53,7987968,Telefones sem fio 940173 e 978909 - DICDE e Mural de Avisos,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7987968,1
23117.022044/2023-83,4896327,Aparelho de ar condicionado - DIRPS - SM - 1A,Material: Recolhimento de Material ao Depósito,,FAZER TBP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4896327,1
23117.022380/2025-98,6946528,,Material: Recolhimento de Material ao Depósito,cpetrag,Aguardando Aceite STP,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6946528,1
